eventName,totalUsers,sessions,engagedSessions,eventCount,screenPageViews,bounceRate,userEngagementDuration,averageSessionDuration
page_view,164.0,275.0,117.0,929.0,929.0,0.5745454545454546,0.0,75.17668296727274
first_visit,163.0,163.0,36.0,164.0,0.0,0.7791411042944786,0.0,0.4081292760736196
session_start,163.0,274.0,117.0,275.0,0.0,0.572992700729927,0.0,0.0
scroll,114.0,203.0,101.0,530.0,0.0,0.5024630541871922,2181.0,22.898314413793102
user_engagement,33.0,102.0,97.0,630.0,0.0,0.049019607843137254,6544.0,180.05389343137256
click,4.0,18.0,18.0,29.0,0.0,0.0,1066.0,85.13346422222223
